Kelime | Kelimenin Frekansi | Most Likely Tag
! | 72 | 0.0392156862745098
$1 | 6 | 0.00021256695859195646
$1,000 | 3 | 0.0003371165299471851
$1,500 | 3 | 0.0003371165299471851
$1.1 | 3 | 0.0003371165299471851
$10 | 3 | 0.0003371165299471851
$10,000 | 5 | 0.0005618608832453085
$100 | 7 | 0.0007866052365434319
$12,500 | 2 | 0.006756756756756757
$12.50 | 2 | 0.0002247443532981234
$14 | 2 | 0.006756756756756757
$15,000 | 3 | 0.0003371165299471851
$15,000,000 | 2 | 0.0002247443532981234
$150 | 2 | 0.0002247443532981234
$17,000 | 2 | 0.0002247443532981234
$18 | 2 | 0.0002247443532981234
$2 | 4 | 0.0004494887065962468
$2,000 | 2 | 0.0002247443532981234
$20 | 3 | 0.0003371165299471851
$20,000 | 3 | 0.0003371165299471851
$25 | 3 | 0.0003371165299471851
$25,000 | 3 | 0.0003371165299471851
$250 | 3 | 0.0003371165299471851
$28 | 4 | 0.0004494887065962468
$3 | 2 | 0.0002247443532981234
$37 | 2 | 0.006756756756756757
$4 | 2 | 0.0002247443532981234
$450 | 2 | 0.0002247443532981234
$5 | 2 | 0.0002247443532981234
$5,000 | 4 | 0.0004494887065962468
$50 | 2 | 0.0002247443532981234
$500 | 4 | 0.0004494887065962468
$500,000 | 3 | 0.0003371165299471851
$60 | 4 | 0.0004494887065962468
$600 | 2 | 0.0002247443532981234
$65 | 2 | 0.0002247443532981234
$700 | 2 | 0.0002247443532981234
$75 | 2 | 0.0002247443532981234
$80,738 | 2 | 0.0002247443532981234
$800 | 3 | 0.0003371165299471851
$85 | 2 | 0.0002247443532981234
$9 | 2 | 0.0002247443532981234
& | 35 | 0.24358974358974358
' | 68 | 1.0
'' | 1353 | 1.0
'55 | 2 | 0.0007049700387733521
'em | 2 | 0.002074688796680498
( | 319 | 1.0
) | 322 | 1.0
, | 9237 | 1.0
-- | 558 | 1.0
. | 7315 | 0.8680190930787589
1 | 67 | 0.05714285714285714
1% | 2 | 8.502678343678259e-05
1,000 | 2 | 0.0007049700387733521
1,700 | 2 | 0.0007049700387733521
1.24 | 2 | 0.0007049700387733521
1.5 | 4 | 0.0014099400775467042
10 | 45 | 0.015509340853013746
10-year | 4 | 0.00041013021634368914
10-year-old | 3 | 0.00020506510817184457
100 | 19 | 0.0066972153683468455
100% | 2 | 8.502678343678259e-05
1065 | 2 | 0.0007049700387733521
1066 | 2 | 0.0007049700387733521
108 | 2 | 0.0007049700387733521
11 | 21 | 0.014285714285714285
110 | 2 | 0.00625
111 | 3 | 0.01875
12 | 26 | 0.01875
12,000 | 2 | 0.0007049700387733521
126 | 2 | 0.00625
13 | 18 | 0.00634473034896017
130 | 2 | 0.0007049700387733521
133 | 2 | 0.00625
13th | 5 | 0.010526315789473684
14 | 20 | 0.014285714285714285
14th | 2 | 0.03333333333333333
15 | 30 | 0.02857142857142857
150 | 2 | 0.0007049700387733521
150,000,000 | 2 | 0.0007049700387733521
154 | 3 | 0.0010574550581600281
15th | 5 | 0.016666666666666666
16 | 10 | 0.014285714285714285
1611 | 2 | 0.0007049700387733521
1643 | 2 | 0.00625
16th | 4 | 0.03333333333333333
17 | 17 | 0.1
17th | 4 | 0.016666666666666666
18 | 26 | 0.05714285714285714
180 | 4 | 0.0014099400775467042
1899 | 2 | 0.0007049700387733521
18e | 2 | 0.6666666666666666
18th | 4 | 0.008421052631578947
19 | 16 | 0.02857142857142857
1910 | 4 | 0.0014099400775467042
1912 | 2 | 0.0007049700387733521
1913 | 2 | 0.0007049700387733521
1917 | 3 | 0.0010574550581600281
1919 | 2 | 0.00625
192 | 2 | 0.0007049700387733521
1920 | 5 | 0.0017624250969333803
1920's | 2 | 0.0002247443532981234
1920s | 2 | 0.0002247443532981234
1921 | 2 | 0.0007049700387733521
1923 | 2 | 0.0007049700387733521
1924 | 2 | 0.0007049700387733521
1925 | 3 | 0.0010574550581600281
1927 | 7 | 0.0024673951357067326
1928 | 4 | 0.0014099400775467042
1930 | 2 | 0.0007049700387733521
1930s | 2 | 0.0002247443532981234
1933 | 2 | 0.0007049700387733521
1934 | 3 | 0.0010574550581600281
1935 | 3 | 0.0010574550581600281
1937 | 3 | 0.0010574550581600281
1940 | 2 | 0.0007049700387733521
1941 | 2 | 0.0007049700387733521
1942 | 2 | 0.0007049700387733521
1944 | 4 | 0.0014099400775467042
1945 | 5 | 0.0017624250969333803
1946 | 5 | 0.0017624250969333803
1948 | 6 | 0.0021149101163200562
1949 | 6 | 0.0021149101163200562
195 | 2 | 0.0007049700387733521
1950 | 5 | 0.0017624250969333803
1951 | 3 | 0.0010574550581600281
1952 | 3 | 0.0010574550581600281
1953 | 8 | 0.0028198801550934085
1954 | 11 | 0.014285714285714285
1955 | 6 | 0.0021149101163200562
1956 | 9 | 0.003172365174480085
1957 | 9 | 0.003172365174480085
1958 | 19 | 0.0066972153683468455
1959 | 25 | 0.008812125484666901
